#id,gabe_ra,gabe_dec,m_F140W,m_F160W,z_p,z_spec,STELLARITY,in_obs_region_1,in_obs_region_2,in_obs_region_3,NRS_F110W,NRS_F140X,NRS_CLEAR,REFERENCE,WEIGHT,comment
14639,150.08456940084798,2.3353185836634567,25.19528331775659,25.069514896799483,3.51,-99.0,0.02,False,True,True,25.38061141967773,25.22572135925293,24.890819549560547,0,3000, SF z>2: SF M>9 z>3:
17360,150.08946092967312,2.362589278892662,25.269982054481208,25.103541321449473,3.29,-99.0,0.01,False,True,True,25.526172637939453,25.40898704528809,25.269073486328125,0,3000, SF z>2: SF M>9 z>3:
18320,150.05226335160992,2.3685513580368203,24.547364290565284,24.7992908063951,3.812,-99.0,0.02,False,True,True,24.86971092224121,24.76577377319336,24.31428337097168,0,3000, SF z>2: SF M>9 z>3:
15222,150.06934490729458,2.3408801859417108,24.721003687799016,24.400294202346764,3.51,-99.0,0.84,False,True,True,24.670372009277344,24.5178279876709,24.235933303833008,1,3000, SF z>2: SF M>9 z>3:
20130,150.10717673225318,2.373392757779906,24.32231949766592,24.221956132258185,3.578,-99.0,0.01,False,True,True,24.531503677368164,24.384920120239254,24.02964210510254,0,3000, SF z>2: SF M>9 z>3:
14836,150.08820608608823,2.337221677339594,24.406373157773817,24.300621671723444,3.269,-99.0,0.0,False,True,True,24.704782485961918,24.514503479003903,24.22530746459961,0,3000, SF z>2: SF M>9 z>3:
14984,150.06028112708182,2.3385553294114017,24.234715150338413,23.84941720195273,3.51,-99.0,0.48,False,False,True,24.19023704528809,24.07709503173828,23.894493103027344,0,3000, SF z>2: SF M>9 z>3:
19818,150.0575779432898,2.3820974703409736,,24.50586837226741,3.788,-99.0,0.84,False,False,True,24.51505470275879,24.437746047973636,24.16167640686035,0,3000, SF z>2: SF M>9 z>3:
19548,150.07351134765636,2.382909073737179,26.62564091563762,25.640469363917738,3.51,-99.0,0.73,False,True,True,26.498186111450195,26.350025177001957,26.11824607849121,1,3000, SF z>2: SF M>9 z>3:
17423,150.1153735612325,2.3634733046219805,25.190054305654844,24.839969414223674,3.532,-99.0,0.95,False,True,True,24.861648559570312,24.75187110900879,24.491914749145508,1,3000, SF z>2: SF M>9 z>3:
14670,150.06618259341386,2.335767543744025,25.989532101750562,25.622000539761213,3.532,-99.0,0.21,False,True,True,26.126392364501957,25.89393615722656,25.42566299438477,0,3000, SF z>2: SF M>9 z>3:
16116,150.05472250956757,2.3508149044331166,,25.125138810137155,3.102,-99.0,0.0,False,False,True,25.793983459472656,25.510162353515625,25.108192443847656,0,3000, SF z>2: SF M>9 z>3:
17685,150.08522065437924,2.3662743062348195,25.075685801611876,24.77866755866414,3.399,-99.0,0.79,False,True,True,25.14958381652832,24.99630546569824,24.734376907348636,1,3000, SF z>2: SF M>9 z>3:
14324,150.06442174416404,2.3313612867839626,24.306647520268914,24.40800836927218,3.269,-99.0,0.34,False,False,True,24.916059494018555,24.650909423828125,24.20067405700684,0,3000, SF z>2: SF M>9 z>3:
16696,150.07286439765733,2.356569563034594,25.661090571205076,25.0730220674894,3.333,-99.0,0.84,False,True,True,25.66744041442871,25.46282196044922,25.115121841430664,1,3000, SF z>2: SF M>9 z>3:
14759,150.06425116627904,2.33653066959886,24.574543803079134,24.612852593240916,3.51,-99.0,0.53,False,False,True,24.75861549377441,24.656740188598636,24.436115264892575,0,3000, SF z>2: SF M>9 z>3:
16563,150.0945024146622,2.355608493131218,25.523630919348193,24.96231349084448,3.717,-99.0,0.02,False,True,True,25.49266815185547,25.44118881225586,25.30739974975586,0,3000, SF z>2: SF M>9 z>3:
19737,150.08945460937062,2.3801838568505365,25.02904189590435,25.023108704982878,2.041,-99.0,0.02,False,True,True,25.556400299072266,25.447479248046875,25.474267959594727,0,2000, SF z>2:
15812,150.1153486924748,2.3477014363212123,24.964202786934752,24.596782184806933,2.787,-99.0,0.07,False,True,True,25.77896499633789,25.161739349365234,24.42779922485352,0,2000, SF z>2:
